dataset,row_number,field,defect_class,original_value
Works Completed.csv,621,Image,MISSING_OR_BLANK,
Works Completed.csv,622,Image,MISSING_OR_BLANK,
Works Completed.csv,623,Image,MISSING_OR_BLANK,
Works Completed.csv,659,Image,MISSING_OR_BLANK,
Works Completed.csv,660,Image,MISSING_OR_BLANK,
Works Completed.csv,661,Image,MISSING_OR_BLANK,
Works Completed.csv,662,Image,MISSING_OR_BLANK,
Works Completed.csv,663,Image,MISSING_OR_BLANK,
Works Completed.csv,664,Image,MISSING_OR_BLANK,
Works Completed.csv,669,Image,MISSING_OR_BLANK,
Works Completed.csv,670,Image,MISSING_OR_BLANK,
Works Completed.csv,671,Image,MISSING_OR_BLANK,
Works Completed.csv,675,Image,MISSING_OR_BLANK,
Works Completed.csv,693,Image,MISSING_OR_BLANK,
Works Completed.csv,694,Image,MISSING_OR_BLANK,
Works Completed.csv,750,Image,MISSING_OR_BLANK,
Works Completed.csv,805,Image,MISSING_OR_BLANK,
Works Completed.csv,830,Image,MISSING_OR_BLANK,
Works Completed.csv,837,Image,MISSING_OR_BLANK,
Works Completed.csv,850,Image,MISSING_OR_BLANK,
Works Completed.csv,851,Image,MISSING_OR_BLANK,
Works Completed.csv,859,Image,MISSING_OR_BLANK,
Works Completed.csv,860,Image,MISSING_OR_BLANK,
Works Completed.csv,861,Image,MISSING_OR_BLANK,
Works Completed.csv,862,Image,MISSING_OR_BLANK,
Works Completed.csv,863,Image,MISSING_OR_BLANK,
Works Completed.csv,864,Image,MISSING_OR_BLANK,
Works Completed.csv,865,Image,MISSING_OR_BLANK,
Works Completed.csv,866,Image,MISSING_OR_BLANK,
Works Completed.csv,867,Image,MISSING_OR_BLANK,
Works Completed.csv,868,Image,MISSING_OR_BLANK,
Works Completed.csv,869,Image,MISSING_OR_BLANK,
Works Completed.csv,870,Image,MISSING_OR_BLANK,
Works Completed.csv,871,Image,MISSING_OR_BLANK,
Works Completed.csv,872,Image,MISSING_OR_BLANK,
Works Completed.csv,873,Image,MISSING_OR_BLANK,
Works Completed.csv,874,Image,MISSING_OR_BLANK,
Works Completed.csv,875,Image,MISSING_OR_BLANK,
Works Completed.csv,876,Image,MISSING_OR_BLANK,
Works Completed.csv,877,Image,MISSING_OR_BLANK,
Works Completed.csv,878,Image,MISSING_OR_BLANK,
Works Completed.csv,879,Image,MISSING_OR_BLANK,
Works Completed.csv,880,Image,MISSING_OR_BLANK,
Works Completed.csv,881,Image,MISSING_OR_BLANK,
Works Completed.csv,882,Image,MISSING_OR_BLANK,
Works Completed.csv,883,Image,MISSING_OR_BLANK,
Works Completed.csv,884,Image,MISSING_OR_BLANK,
Works Completed.csv,885,Image,MISSING_OR_BLANK,
Works Completed.csv,886,Image,MISSING_OR_BLANK,
Works Completed.csv,887,Image,MISSING_OR_BLANK,
Works Completed.csv,888,Image,MISSING_OR_BLANK,
Works Completed.csv,889,Image,MISSING_OR_BLANK,
Works Completed.csv,890,Image,MISSING_OR_BLANK,
Works Completed.csv,891,Image,MISSING_OR_BLANK,
Works Completed.csv,892,Image,MISSING_OR_BLANK,
Works Completed.csv,893,Image,MISSING_OR_BLANK,
Works Completed.csv,894,Image,MISSING_OR_BLANK,
Works Completed.csv,895,Image,MISSING_OR_BLANK,
Works Completed.csv,896,Image,MISSING_OR_BLANK,
Works Completed.csv,897,Image,MISSING_OR_BLANK,
Works Completed.csv,898,Image,MISSING_OR_BLANK,
Works Completed.csv,899,Image,MISSING_OR_BLANK,
Works Completed.csv,900,Image,MISSING_OR_BLANK,
Works Completed.csv,901,Image,MISSING_OR_BLANK,
