allocation_id,state,constituency,honble_members_of_parliament
ALLOC_3d8466165a772f7d35cc,West Bengal,COOCHBEHAR(SC),JAGADISH CHANDRA BARMA BASUNIA
ALLOC_2031accaf25f46168bbd,Karnataka,BELGAUM,JAGADISH SHETTAR
ALLOC_42fc226988cbc9cf1337,West Bengal,RANAGHAT(SC),Jagannath Sarkar
ALLOC_bf3cc8c636da532761d7,Uttar Pradesh,DOMARIYAGANJ,Jagdambika Pal
ALLOC_b360062c45d913cb6203,Haryana,HISAR,JAI PARKASH
ALLOC_b2d59f43176080007b51,Uttar Pradesh,HARDOI (SC),Jai Prakash
ALLOC_119260f32a60e32390c9,Madhya Pradesh,REWA,Janardan Mishra
ALLOC_45c36b35a69844f65e2f,Gujarat,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA
ALLOC_ff8e6abaeaf921da62b0,Gujarat,DAHOD(ST),Jaswantsinh Sumanbhai Bhabhor
ALLOC_377259d1634b841cb52d,Bihar,GAYA (SC),JITAN RAM MANJHI
ALLOC_4504484921bd46a708ac,Uttar Pradesh,ETAWAH(SC),JITENDRA KUMAR DOHARE
ALLOC_9a6208e2a924cd53dd87,Jammu And Kashmir,UDHAMPUR,Jitendra Singh
ALLOC_efee7559929993a72c78,Uttar Pradesh,PILIBHIT,JITIN PRASADA
ALLOC_ed86e56cbe1539a0f824,Jharkhand,SINGHBHUM(ST),JOBA MAJHI
ALLOC_8d07378029995cb030c0,Assam,KOKRAJHAR (ST),JOYANTA BASUMATARY
ALLOC_b4e1f71475d19b67d940,West Bengal,MEDINIPUR,JUNE MALIAH
ALLOC_20177f6cd1e05393ce6c,Madhya Pradesh,GUNA,JYOTIRADITYA M. SCINDIA
ALLOC_661d9f6f309ca35d8870,Chhattisgarh,KORBA,Jyotsna Charandas Mahant
ALLOC_dc4f5826a0a7c05a0a29,Tamil Nadu,ERODE,K E PRAKASH
ALLOC_c2977ba3195765dac3e3,Kerala,ALATHUR(SC),K RADHAKRISHNAN
ALLOC_6e76dfbcd890e4b06dfc,Tamil Nadu,TIRUPPUR,K Subbarayan
ALLOC_2ca339e2d9179f5fc374,Kerala,ALAPPUZHA,K. C VENUGOPAL
ALLOC_05a3e749b40df539742a,Karnataka,KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL
ALLOC_77eaf429ca4a02a42a2f,Telangana,WARANGEL(SC),KADIYAM KAVYA
ALLOC_3126e18c7f136e6a3071,West Bengal,BARASAT,Kakoli Ghosh Dastidar
ALLOC_04234ca087e68a93e064,The Dadra And Nagar Haveli And Daman And Diu,DADRA & NAGAR HAVELI (ST),Kalaben Mohanbhai Delkar
ALLOC_cbd6f77c0b78ce6b7c7e,Tamil Nadu,CHENNAI NORTH,Kalanidhi Veeraswamy
ALLOC_72e441e0300d82a9c9d2,Jharkhand,KHUNTI(ST),KALI CHARAN MUNDA
ALLOC_3802acd146e0ae54be5b,Jharkhand,CHATRA,KALI CHARAN SINGH
ALLOC_f0242212b44b6272d17d,West Bengal,JHARGRAM(ST),KALIPADA SAREN
ALLOC_6b18a3c563142329e1ee,West Bengal,SREERAMPUR,Kalyan Banerjee
ALLOC_f8072c8f04659ab9f192,Maharashtra,JALNA,KALYAN VAIJINATHRAO KALE
ALLOC_30e0d3b7ef53a3d88515,Assam,Kaziranga,KAMAKHYA PRASAD TASA
ALLOC_6ea33791e9dd45729fb2,Delhi,WEST DELHI,Kamaljeet Sehrawat
ALLOC_569360273cbca45bf926,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE
ALLOC_c3b40e295cdfd62e8559,Uttar Pradesh,BANSGAON(SC),Kamlesh Paswan
ALLOC_d8e060a1651c4ee30d76,Himachal Pradesh,MANDI,Kangana Ranaut
ALLOC_a71edb15e99d391ac46a,Tamil Nadu,RAMANATHAPURAM,Kani K Navas
ALLOC_1d706def42797ffd93bb,Tamil Nadu,THOOTHUKKUDI,Kanimozhi Karunanidhi
ALLOC_3c40693f1150959ef1ba,Uttar Pradesh,AMROHA,KANWAR SINGH TANWAR
ALLOC_1635833b732d374155f9,Uttar Pradesh,KAISERGANJ,KARAN BHUSHAN SINGH
ALLOC_6912e0ba0ca86323508a,West Bengal,RAIGANJ,KARTICK CHANDRA PAUL
ALLOC_40ffa21fd8b76dae9cb1,Bihar,NALANDA,Kaushalendra Kumar
ALLOC_d1b9a20316f14e1b6cd5,West Bengal,MALDAHA UTTAR,Khagen Murmu
ALLOC_9e664d67568639a42f8d,West Bengal,JANGIPUR,Khalilur Rahaman
ALLOC_038ad1f3dfd1e23ac8ea,Andhra Pradesh,SRIKAKULAM,Kinjarapu Ram Mohan Naidu
ALLOC_315b7fc4c8175e5289fe,Arunachal Pradesh,ARUNACHAL WEST,Kiren Rijiju
ALLOC_5f6b954cdf3e1cd7a4d7,Uttar Pradesh,GONDA,Kirti Vardhan Singh
ALLOC_ef63d53666d52b28dff3,Telangana,SECUNDERABAD,Kishan Reddy Gangapuram
ALLOC_6dc19384f6422c43b8b9,Uttar Pradesh,AMETHI,KISHORI LAL
ALLOC_4716216aba5c8e7729af,Telangana,CHELVELLA,KONDA VISHWESHWAR REDDY
ALLOC_91af01307f02b759b9a0,Karnataka,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY
ALLOC_91d713cd5593844b2dd2,Assam,KARIMGANJ (SC),Kripanath Mallah
ALLOC_f9c7f800627e3233ea50,Haryana,FARIDABAD,Krishan Pal Gurjar
ALLOC_bba5e35ee70b1e73e464,Uttar Pradesh,BANDA,KRISHNA DEVI SHIVSHANKER PATEL
ALLOC_bb492038299ac4fd8597,Andhra Pradesh,BAPATLA,Krishna Prasad Tenneti
ALLOC_55dce0982bd296c18eed,Tripura,TRIPURA EAST(ST),KRITI DEVI DEBBARMAN
ALLOC_448afe9a816e44c2ce09,Rajasthan,GANGANAGAR(SC),KULDEEP INDORA
ALLOC_db191d51c4be060fcb9f,Telangana,NALGONDA,KUNDURU RAGHUVEER
ALLOC_7da5a2dc0628702ff4ed,Uttar Pradesh,AMBEDKAR NAGAR,LALJI VERMA
ALLOC_d705f93522ea9346eaca,Andhra Pradesh,NARASARAOPET,Lavu Sri Krishna Devarayalu
ALLOC_b6d880f7588c0ad830c0,Uttar Pradesh,SANT KABIR NAGAR,LAXMIKANT PAPPU NISHAD
ALLOC_e7f0d68e9a914e0d67ff,Bihar,SHEOHAR,LOVELY ANAND
ALLOC_c4111d8ee421b87c5cec,Rajasthan,JALORE,LUMBARAM
ALLOC_ce455debb29ebd1f2e35,Karnataka,KOLAR(SC),M. MALLESH BABU
ALLOC_3a97246b0fc41996aa53,Tamil Nadu,CUDDALORE,M.K. VISHNUPRASAD
ALLOC_bc84834a8ce72ee90cfe,Andhra Pradesh,TIRUPATI(SC),Maddila Gurumoorthy
ALLOC_e1d1d59d2934d02757c8,Telangana,MEDAK,MADHAVANENI RAGHUNANDAN RAO
ALLOC_b2079c97f2855450dea1,Andhra Pradesh,ONGOLE,Magunta Sreenivasulu Reddy
ALLOC_9a1de25d9b4c95943b69,Madhya Pradesh,DEWAS(SC),Mahendra Singh Solanky
ALLOC_2f269294b4743e18a230,Chhattisgarh,BASTAR(ST),MAHESH KASHYAP
