"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2942","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2025-2026/239086","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","25-Aug-2026","SHREE SHYAM ENTERPRISES","Payment Success","988712"
"2943","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18034/2025-2026/264760","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","CHIRAG PASWAN","HAJIPUR(SC)","26-Aug-2026","SHREE SHYAM ENTERPRISES","Payment Success","988493"
"2944","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","HARISH CHANDRA BHATT TRADERS","Payment Success","85107"
"2945","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222021","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat  Tikroo","Payment Success","70000"
"2946","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/222407","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","25-Aug-2026","Gram Panchayat Bihun","Payment Success","70000"
"2947","Himachal Pradesh","Construction of culverts and bridges","WS/MP18328/2025-2026/221503","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","G P Nichala Garoru","Payment Success","100000"
"2948","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222024","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","PradhanGP Kadhar","Payment Success","60000"
"2949","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2026-2027/269106","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","PradhanGP Kufri","Payment Success","120000"
"2950","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/221897","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panhayat Tullah","Payment Success","70000"
"2951","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222520","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Khadiar","Payment Success","70000"
"2952","Himachal Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP18328/2026-2027/269028","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Kathog","Payment Success","60000"
"2953","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/268095","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Kathog","Payment Success","60000"
"2954","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18328/2026-2027/272670","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Baridhar","Payment Success","80000"
"2955","Himachal Pradesh","Retrofitting in essential lifeline buildings","WS/MP18328/2026-2027/272671","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Prashar Yuvak Mandal Rehardhar","Payment Success","60000"
"2956","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/221803","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Bhadyara","Payment Success","70000"
"2957","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/221891","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat  Pihar  Bhedlu","Payment Success","70000"
"2958","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/221894","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Bharol","Payment Success","70000"
"2959","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/269099","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Latran","Payment Success","60000"
"2960","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/267697","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Kunnu","Payment Success","60000"
"2961","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2026-2027/267698","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","25-Aug-2026","Gram Panchayat Silh Badhani","Payment Success","120000"
"2962","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2026-2027/273887","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","27-Aug-2026","Chanchal Singh","Payment Success","185900"
"2963","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","TIRLOCHAN","Payment Success","10980"
"2964","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","HARISH CHANDRA JOSHI","Payment Success","10980"
"2965","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","VINOD CHANDRA BHATT","Payment Success","15150"
"2966","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","HARISH CHANDRA BHATT","Payment Success","15150"
"2967","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","PAWAN BHATT","Payment Success","10980"
"2968","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","NAVEEN CHANDRA BHATT","Payment Success","15150"
"2969","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2026-2027/268956","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","27-Aug-2026","BHARTI RAWAT","Payment Success","8052"
"2970","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/267799","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","24-Aug-2026","ARUN K","Payment Success","250000"
"2971","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18328/2026-2027/267699","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","27-Aug-2026","Gram Panchayat Hataun","Payment Success","100000"
"2972","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222411","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Aug-2026","Pradhan GP Dhart Bagla Sec GP Dart Bagala","Payment Success","60000"
"2973","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2026-2027/241118","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","24-Aug-2026","DINESH NAYAK","Payment Success","298314"
"2974","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/267700","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Tung","Payment Success","75000"
"2975","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2026-2027/267711","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","Gram Panchayat Tung","Payment Success","100000"
"2976","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222523","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Aug-2026","Pradhan GP Masoli","Payment Success","60000"
"2977","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18269/2026-2027/246434","SALEM(DISTRICT COLLECTOR SALEM_IDA)","SELVAGANAPATHI T M","SALEM","24-Aug-2026","Sre MCM and Co","Payment Success","2276220"
"2978","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272608","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment Success","100000"
"2979","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272607","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment Success","50000"
"2980","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/272766","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Pokhi","Payment Success","50000"
"2981","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP394/2026-2027/247484","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","27-Aug-2026","Rajive C K","Payment Success","456779"
"2982","Himachal Pradesh","Development of public parks","WS/MP18328/2026-2027/272910","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","29-Aug-2026","Gram Panchayat Bhanthal","Payment Success","400000"
"2983","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18042/2026-2027/259766","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","22-Aug-2026","THAKUR AMRENDRA KUMAR SINGH","Payment Success","797038"
"2984","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/192935","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","25-Aug-2026","Jodh Singh Sarpanch Rabbon Uchi","Payment Success","50848"
"2985","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/221811","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Aug-2026","Gram Panchayat Golwan","Payment Success","150000"
"2986","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2026-2027/273602","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","22-Aug-2026","ANIJLI SHARMA","Payment Success","178500"
"2987","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2026-2027/280930","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","19098"
"2988","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2026-2027/280930","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","42560"
"2989","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2026-2027/280930","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","20750"
"2990","Punjab","Construction of stadiums","WS/MP18311/2026-2027/277742","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","20750"
"2991","Punjab","Construction of stadiums","WS/MP18311/2026-2027/277742","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","85120"
"2992","Punjab","Construction of stadiums","WS/MP18311/2026-2027/277742","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","shivalik engineers and contractors","Payment Success","50654"
"2993","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP428/2026-2027/304499","RAJNANDGAON(DISTRICT COLLECTOR RAJNANDGAON_IDA)","Santosh Pandey","RAJNANDGAON","24-Aug-2026","GRAM PANCHAYAT MOKHALI","Payment Success","150000"
"2994","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","deepak kumar","Payment Success","1140"
"2995","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/269915","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","shivoham by Gajanan","Payment Success","24720"
"2996","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/269915","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","5912"
"2997","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/269915","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Ajay Tamta","ALMORA(SC)","24-Aug-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","1478"
"2998","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18042/2026-2027/259762","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","21-Aug-2026","MARUTI CONSTRUCTION","Payment Success","697438"
"2999","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/222518","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Aug-2026","Gram Panchayat Langna","Payment Success","70000"
"3000","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/222022","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Aug-2026","Gram Panchayat Bhager","Payment Success","60000"
"3001","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/257860","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","21-Aug-2026","ABHIMANYU GIRI","Payment Success","395692"
"3002","Punjab","Development of playfields and sports grounds","WS/MP18155/2025-2026/255595","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","21-Aug-2026","bagha Hardware Paint Store","Payment Success","23590"
"3003","Punjab","Installing tube-wells and borewells","WS/MP18158/2026-2027/261347","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","26-Aug-2026","Mobera Singh","Payment Success","47250"
"3004","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18354/2026-2027/269119","Balrampur-Ramanujganj(District Collector BALRAMPUR_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","24-Aug-2026","GRAM PANCHAYAT BAGHIMA","Payment Success","299984"
"3005","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Shankar lal Gadri","Payment Success","7410"
"3006","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Parmanand","Payment Success","7410"
"3007","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Mahaveer Kumawat","Payment Success","7410"
"3008","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Mahaveer Parsad Mali","Payment Success","18400"
"3009","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Chotu Regar","Payment Success","7410"
"3010","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/253239","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","28-Aug-2026","SELMA EKKA","Payment Success","400000"
"3011","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Badri Kumhar","Payment Success","7410"
"3012","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Debi lal Gujar","Payment Success","10400"
"3013","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","Prahlad Kumawat","Payment Success","7410"
"3014","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","BRAHMANANDA SAHOO","Payment Success","692305"
"3015","Himachal Pradesh","Construction of culverts and bridges","WS/MP18328/2026-2027/273143","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Suin Kufridhar","Payment Success","200000"
"3016","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18008/2026-2027/254607","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Dr Chandra Sekhar Pemmasani","GUNTUR","24-Aug-2026","Eda Harsha vardhan reddy","Payment Success","844562"
"3017","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2026-2027/273152","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Belardhar","Payment Success","80000"
