"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3088","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","PAWAN DAI","Payment Success","3705"
"3089","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","PREETI KUMARI","Payment Success","3705"
"3090","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","RAMESH CHAND","Payment Success","3705"
"3091","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","RAVINDRA KUMAR","Payment Success","3705"
"3092","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","UMESH KUMAR","Payment Success","3705"
"3093","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","YATENDRA KUMAR","Payment Success","9750"
"3094","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2026-2027/270073","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","21-Aug-2026","YOGESH","Payment Success","3705"
"3095","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/196252","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment Success","693442"
"3096","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/214191","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","SATPAL BRAHAMCHARI","SONEPAT","18-Aug-2026","The Devi Luxmi Co Operative Labour and Construction Society Limited","Payment Success","285506"
"3097","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/291810","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","18-Aug-2026","SARPANCH GRAM PANCHAYAT JAMGAON M","Payment Success","260000"
"3098","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP568/2026-2027/291808","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","18-Aug-2026","SARPANCH GRAM PANCHAYAT TELIGUNDRA","Payment Success","350000"
"3099","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP18328/2026-2027/273147","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","24-Aug-2026","GP Thali","Payment Success","80000"
"3100","Gujarat","Installing tube-wells and borewells","WS/MP578/2025-2026/224056","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KHOKHARAUMAR GROUP GRAM PANCHAYAT","Payment Success","100000"
"3101","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/190974","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","19-Aug-2026","Sunil Enterprises Dirba","Payment Success","30078"
