sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
10395,Normal/Others,"WS/MP856/2024-2025/154605-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Mohalla Krishnapuri me deepak verma ke ghar se rambabu yadav ke ghar tak CC sadak evm nali nirman karya-Length 80 meter,2024-11-25,2025-01-20,871624.0,Physical Inspection,False,Works Sanctioned.csv
10396,Normal/Others,"WS/MP856/2024-2025/154606-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Narayaneshawar mandir se shailendra rathor ke makan tak CC sadak evm nali nirma-Length-50 meter evam Neeru jaiswal ke makan se ramvilas ke makan tak CC sadak evam nali nirman-Length 120 meter,2024-11-25,2025-01-20,179981.0,Physical Inspection,False,Works Sanctioned.csv
10397,Normal/Others,"WS/MP856/2024-2025/154609-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Barawal Kala mein Shanni Aata Chakki ke picche Interlocking Sadak avm Nali Nirman Karya. Length-100 Meter,2024-11-25,2025-01-20,961609.0,Physical Inspection,False,Works Sanctioned.csv
10398,Normal/Others,"WS/MP856/2024-2025/154610-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Virayati Choraha se Sagar Clinic tak side patri Interlocking Karya. Length-70 Meter.,2024-11-25,2025-01-20,256430.0,Physical Inspection,False,Works Sanctioned.csv
10399,Normal/Others,"WS/MP18188/2024-2025/154611-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Ponamoni Pochaiah House to Sangamla Anjaneyulu House at Kummariguda Village of Shabad Mandal,2024-11-25,2025-02-12,401207.0,Physical Inspection,False,Works Sanctioned.csv
10400,Normal/Others,"WS/MP856/2024-2025/154612-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,M.I.S. Choraha ke paas C-3959 se 4025 tak side patri Interlocking Karya. Length 100 Meter,2024-11-25,2025-01-20,1252559.0,Physical Inspection,False,Works Sanctioned.csv
10401,Normal/Others,WS/MP799/2024-2025/154613-Improvement of electricity distribution infrastructure,Uttar Pradesh,Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA),Pankaj Chowdhary,MAHARAJGANJ_UP,"Village Madhubani me Uttima Devi Ramnayan Das Intermideat College tak Taar, Poll, and 25 KVA Transformer",2024-11-26,2024-12-07,337732.0,Vendor Identification,False,Works Sanctioned.csv
10402,Normal/Others,"WS/MP856/2024-2025/154614-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,E-Block main 5/1 se lekar satsang Bhawan tak CC Sadak avm Nali Nirman Karya. Length-130 Meter,2024-11-25,2025-01-20,1637891.0,Physical Inspection,False,Works Sanctioned.csv
10403,Normal/Others,"WS/MP18188/2024-2025/154615-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,"Laying of CC Road from OHSR to Ch.Yadaiah House at Nallacheruvu Thanda, H/o. Peddamma Thanda Village of Maheshwaram Mandal",2024-11-25,2025-02-12,499806.0,Physical Inspection,False,Works Sanctioned.csv
10404,Normal/Others,"WS/MP856/2024-2025/154616-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Mardankhera mein Ramlekhan ke makan se Sanrise Public School tak avm Manok ke makan hote hue Sohan Lal Yadav ke ghar tak Sadak avm Nali Nirman Karya. Length 115 Meter.,2024-11-25,2025-01-20,975581.0,Physical Inspection,False,Works Sanctioned.csv
10405,Normal/Others,WS/MP345/2025-2026/154617-Providing supply pipelines for drinking water,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,"Extending drinking water pipeline and providing drinking water connection in Kailasom, Adichan Colony of Paravattom Ward in Punalur Municipality in Punalur Constituency (SC)",2024-11-25,2025-04-04,659384.0,Physical Inspection,False,Works Sanctioned.csv
10406,Normal/Others,"WS/MP856/2024-2025/154618-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Avon City (Pink city) main Sandeep Srivastav ke makan se Gokran Rawat ke makan tak Sadak avm Nali Niram karya. Length-105 Meter,2024-11-25,2025-01-20,1274365.0,Physical Inspection,False,Works Sanctioned.csv
10407,Normal/Others,"WS/MP18188/2025-2026/154619-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Nakka Raghavendar House to Madramoni Mallesh House at Pedda Golconda Village in Shamshabad Mandal,2024-11-25,2025-04-25,500000.0,Sanction,False,Works Sanctioned.csv
10408,Normal/Others,WS/MP18101/2024-2025/154629-Construction of boundary walls of existing public and community buildings,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),RAHUL SINGH LODHI,DAMOH,chandi ji ward hatta me samudayak bhavn nirman kary,2024-11-25,2024-12-18,1500000.0,Vendor Identification,False,Works Sanctioned.csv
10409,Normal/Others,"WS/MP18188/2025-2026/154630-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Venu Pantulu House to Vadla Brahmaiah House at Nawabpet Village and Mandal,2024-11-25,2025-06-13,500000.0,Sanction,False,Works Sanctioned.csv
10410,Normal/Others,WS/MP799/2024-2025/154632-Construction of culverts and bridges,Uttar Pradesh,Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA),Pankaj Chowdhary,MAHARAJGANJ_UP,Village Gerahva me Virendra Gupta ke Khet ke pass 1X4 meter span ki Rcc Puliya ka nirman,2024-11-26,2024-12-11,2319998.0,Physical Inspection,False,Works Sanctioned.csv
10411,Normal/Others,"WS/MP799/2024-2025/154633-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA),Pankaj Chowdhary,MAHARAJGANJ_UP,Village Chakdah Tola Belbhar me sohrat ke ghar se roshan ke ghar tak 200 meter CC Road,2024-11-26,2024-12-11,2306546.0,Physical Inspection,False,Works Sanctioned.csv
