sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
19431,Normal/Others,"WS/MP18381/2026-2027/276427-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of CC Road from Kota Nagabhushanam house to Chapalara Ramakotaiah house at Kothapally Village, Makloor Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-06-30,False,Works_Recommended.csv
19432,Normal/Others,"WS/MP18381/2026-2027/276428-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of CC Road from Doppalapudi Satyanarayana open plot to Vemulapally Subba Rao House at Kothapally Village, Makloor Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-06-30,False,Works_Recommended.csv
19433,Normal/Others,"WS/MP18381/2026-2027/276430-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of CC Road From Kuchipudi Mariyamma house to Bottu Yellaiah house at Kothapally Village, Makloor Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-06-30,False,Works_Recommended.csv
19434,Normal/Others,WS/MP18381/2026-2027/276432-Development of playground,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Construction of DIAS in ZPHS School Ground at Tirmanpalle Village, Nizambad Rural Mandal, Nizambad District, Telangana",2026-03-28,500000.0,2026-05-23,False,Works_Recommended.csv
19435,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 1 High Mast Light near Hanuman Temple at PEDDA BANDRA Village, Anderband GP, Bheempur Mandal, Adilabad District, Telangna",2026-03-28,155000.0,,False,Works_Recommended.csv
19436,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 3 High Mast Lights near Ramalayam Mandir and near yadava Sangham Building and near Bhavani Laxmi house at Bandalnagapur Village. Tamsi Mandal, Adilabad District, Telangana",2026-03-28,465000.0,,False,Works_Recommended.csv
19437,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 3 High Mast Lights near Shvalayam and near Hanuman Temple and near Samba Shiva Goud house at Ponnari Village, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,465000.0,,False,Works_Recommended.csv
19438,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 3 High Mast Lights near GP Building and near TGB Bank and near G Ganapathy House at Kapparla Village, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,465000.0,,False,Works_Recommended.csv
19439,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 3 High Mast Lights near Tumram Suresh House and near Hanuman Temple and near M Bhujanga Rao house at Limguda Village Girgoan GP, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,465000.0,,False,Works_Recommended.csv
19440,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 3 High Mast Lights near Saibaba Temple and near Agriculture Market Yard and near Government Junior College at Tamsi village, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,465000.0,,False,Works_Recommended.csv
19441,Normal/Others,NA-Lighting of public spaces,Telangana,ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA),Smt. Renuka Chowdhury (2024-30) (2024-2030),Elected MP,"Installation of 2 High Mast Lights near Komaram Bheem Statue and near Hanuman Temple at Ambugoan Village, Tamsi Mandal, Adilabad District, Telangana",2026-03-28,310000.0,,False,Works_Recommended.csv
