sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
130,Uttar Pradesh,DHARMENDRA YADAV,AZAMGARH,147000000.0,False,Allocated_Limit.csv
131,Gujarat,DHAVAL LAXMANBHAI PATEL,VALSAD(ST),147000000.0,False,Allocated_Limit.csv
132,Bihar,Dileshwar Kamait,SUPAUL,150450930.89,False,Allocated_Limit.csv
133,Assam,Dilip Saikia,Darrang-Udalguri,147000000.0,False,Allocated_Limit.csv
134,Bihar,Dinesh Chandra Yadav,MADHEPURA,150070866.11,False,Allocated_Limit.csv
135,Gujarat,DINESHBHAI MAKWANA,AHMEDABAD WEST(SC),160434965.11,False,Allocated_Limit.csv
136,Andhra Pradesh,DR BYREDDY SHABARI,NANDYAL,150675889.11,False,Allocated_Limit.csv
137,Karnataka,DR C N MANJUNATH,BANGALORE RURAL,147000000.0,False,Allocated_Limit.csv
138,Andhra Pradesh,Dr Chandra Sekhar Pemmasani,GUNTUR,159774113.11,False,Allocated_Limit.csv
139,Punjab,DR DHARAMVIRA GANDHI,PATIALA,147000000.0,False,Allocated_Limit.csv
140,West Bengal,Dr Jayanta Kumar Roy,JALPAIGURI(SC),147000000.0,False,Allocated_Limit.csv
141,Maharashtra,DR KALGE SHIVAJI BANDAPPA,LATUR(SC),147000000.0,False,Allocated_Limit.csv
142,Bihar,Dr Mohammad Jawed,KISHANGANJ,148669229.11,False,Allocated_Limit.csv
143,Uttar Pradesh,DR RAJKUMAR SANGWAN,BAGHPAT,147000000.0,False,Allocated_Limit.csv
144,Tamil Nadu,DR RANI SRI KUMAR,TENKASI(SC),153060922.82,False,Allocated_Limit.csv
145,Kerala,Dr Shashi Tharoor,THIRUVANANTHAPURAM,147000000.0,False,Allocated_Limit.csv
146,West Bengal,Dr Sukanta Majumdar,BALURGHAT,157085364.9,False,Allocated_Limit.csv
147,Gujarat,DR. HEMANG JOSHI,VADODARA,147000000.0,False,Allocated_Limit.csv
148,Maharashtra,DR. HEMANT VISHNU SAVARA,PALGHAR(ST),147000000.0,False,Allocated_Limit.csv
149,Maharashtra,DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),147000000.0,False,Allocated_Limit.csv
150,Madhya Pradesh,DR. LATA WANKHEDE,SAGAR,147000000.0,False,Allocated_Limit.csv
151,Kerala,DR. M.P ABDUSSAMAD SAMADANI,PONNANI,170434031.11,False,Allocated_Limit.csv
152,Gujarat,DR. MANSUKH MANDAVIYA,PORBANDAR,147000000.0,False,Allocated_Limit.csv
153,Karnataka,DR. PRABHA MALLIKARJUN,DAVANAGERE,147000000.0,False,Allocated_Limit.csv
154,Odisha,DR. PRADEEP KUMAR PANIGRAHY,BERHAMPUR,147000000.0,False,Allocated_Limit.csv
155,Maharashtra,DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,159680283.39,False,Allocated_Limit.csv
156,Punjab,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),147000000.0,False,Allocated_Limit.csv
157,Madhya Pradesh,DR. RAJESH MISHRA,SIDHI,262724510.35,False,Allocated_Limit.csv
158,Uttar Pradesh,DR. S P SINGH,PRATAPGARH,147000000.0,False,Allocated_Limit.csv
159,West Bengal,DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),147000000.0,False,Allocated_Limit.csv
160,Karnataka,DR.K.SUDHAKAR,CHIKBALLAPUR,147000000.0,False,Allocated_Limit.csv
161,Telangana,DR.MALLU RAVI,NAGARKURNOOL(SC),147000000.0,False,Allocated_Limit.csv
162,Jharkhand,DULU MAHATO,DHANBAD,147000000.0,False,Allocated_Limit.csv
163,Tamil Nadu,DURAI VAIKO,TIRUCHIRAPPALLI,147000000.0,False,Allocated_Limit.csv
164,Madhya Pradesh,Durga Das Uikey,BETUL(ST),151569502.91,False,Allocated_Limit.csv
165,Rajasthan,Dushyant Singh,JHALAWAR-BARAN,147000000.0,False,Allocated_Limit.csv
166,Karnataka,E. TUKARAM,BELLARY(ST),147000000.0,False,Allocated_Limit.csv
167,Kerala,E.T. MOHAMMED BASHEER,MALAPPURAM,163895872.11,False,Allocated_Limit.csv
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,False,Allocated_Limit.csv
169,Tamil Nadu,ESWARASAMY K,POLLACHI,162315106.11,False,Allocated_Limit.csv
170,Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.41,False,Allocated_Limit.csv
171,Karnataka,G. KUMAR NAIK,RAICHUR(ST),147000000.0,False,Allocated_Limit.csv
172,Maharashtra,GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,147000000.0,False,Allocated_Limit.csv
173,Madhya Pradesh,Gajendra Singh Patel,KHARGONE(ST),147000000.0,False,Allocated_Limit.csv
174,Rajasthan,Gajendra Singh Shekhawat,JODHPUR,147000000.0,False,Allocated_Limit.csv
175,Tamil Nadu,GANAPATHY RAJKUMAR P,COIMBATORE,147370490.11,False,Allocated_Limit.csv
176,Tamil Nadu,Ganesan Selvam,KANCHEEPURAM(SC),186508749.11,False,Allocated_Limit.csv
177,Madhya Pradesh,Ganesh Singh,SATNA,147000000.0,False,Allocated_Limit.csv
178,Assam,GAURAV GOGOI,JORHAT,147000000.0,False,Allocated_Limit.csv
179,Gujarat,GENIBEN NAGAJI THAKOR,BANASKANTHA,147000000.0,False,Allocated_Limit.csv
180,Bihar,Giridhari Yadav,BANKA,147000000.0,False,Allocated_Limit.csv
181,Bihar,Giriraj Singh,BEGUSARAI,147000000.0,False,Allocated_Limit.csv
182,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),147000000.0,False,Allocated_Limit.csv
183,Telangana,GODAM NAGESH,ADILABAD(ST),147000000.0,False,Allocated_Limit.csv
184,Tamil Nadu,GOPINATH K,KRISHNAGIRI,147000000.0,False,Allocated_Limit.csv
185,Karnataka,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),147000000.0,False,Allocated_Limit.csv
186,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.11,False,Allocated_Limit.csv
187,Punjab,GURMEET SINGH MEET HAYER,SANGRUR,147000000.0,False,Allocated_Limit.csv
